Beginner,Intermediate,Expert
https://www.linkedin.com/learning/human-resources-foundations?u=69308098,https://www.linkedin.com/learning/organizational-learning-and-development?u=69308098,https://www.linkedin.com/learning/employee-engagement?u=69308098
https://www.linkedin.com/learning/interviewing-techniques?u=69308098,https://www.linkedin.com/learning/performance-based-hiring?u=69308098,https://www.linkedin.com/learning/human-resources-strategic-workforce-planning?u=69308098
https://www.linkedin.com/learning/management-foundations-2013/what-is-management?u=69308098,https://www.linkedin.com/learning/hiring-an-employee-for-managers?u=69308098,https://www.linkedin.com/learning/succession-planning?u=69308098
